Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
85,C Zane Smith BK,461.8375,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Zane Smith Backup,,,,
86,C Justin Allgaier BK,464.1125,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Justin Allgaier Backup,,,,
87,C Cole Custer BK,466.5000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Cole Custer Backup,,,,
88,C John Hunter Nemecheck BK,462.8125,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series John Hunter Nemecheck Backup,,,,
89,C Erik Jones BK,464.3125,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Erik Jones Backup,,,,
90,C JJ Yeley BK,456.6375,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series JJ Yeley Backup,,,,
91,C Tyler Reddick BK,463.1500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Tyler Reddick Backup,,,,
92,C Ricky Stenhouse Jr BK,458.6500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Ricky Stenhouse Jr Backup,,,,
93,C Alex Bowman BK,457.9125,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Alex Bowman Backup,,,,
94,C Cody Ware BK,451.5625,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Cody Ware Backup,,,,
95,C Ty Gibbs BK,462.5000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Ty Gibbs Backup,,,,
96,C Ryan Preece BK,463.4500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Ryan Preece Backup,,,,
97,C Anthony Alfredo BK,467.8875,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Anthony Alfredo Backup,,,,
98,C Casey Mears BK,467.6875,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Casey Mears Backup,,,,
99,C Corey Heim BK,451.2375,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Corey Heim Backup,,,,
100,C Michael McDowell BK,453.6375,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Michael McDowell Backup,,,,
101,C Carson Hocevar BK,465.1625,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series Carson Hocevar Backup,,,,
102,C BJ McLeod BK,468.9625,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,Cup Series BJ McLeod Backup,,,,
